Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,-63,11,0.0,3.2743733,0.0,0.04365831057230631,0,None
1,-62,12,1.0,1.3253317,0.013333333333333334,0.0613293997446696,0,None
2,-61,13,1.0,5.8166447,0.02666666666666667,0.13888466199239097,0,None
3,-60,14,1.0,2.7168252,0.04,0.17510899861653648,0,None
4,-59,15,1.0,2.9452302,0.05333333333333334,0.21437873522440595,0,None
5,-58,16,1.0,3.9967365,0.06666666666666667,0.26766855557759606,0,None
6,-57,17,1.0,2.910177,0.08,0.30647091547648114,0,None
7,-56,18,1.0,0.4489531,0.09333333333333334,0.3124569567044576,0,None
8,-55,19,1.0,2.5044,0.10666666666666667,0.34584895690282186,0,None
9,-54,20,1.0,3.4154153,0.12000000000000001,0.39138782739639283,0,None
10,-53,21,1.0,0.5887738,0.13333333333333333,0.39923814455668133,0,None
11,-52,22,1.0,-1.3543127,0.14666666666666667,0.3811806424458822,0,None
12,-51,23,1.0,2.4651005,0.16,0.4140486494700114,0,None
13,-50,24,1.0,1.7426786,0.17333333333333334,0.4372843647003174,0,None
14,-49,25,1.0,1.7937133,0.18666666666666668,0.4612005424499512,0,None
15,-48,26,1.0,-0.34409064,0.2,0.45661266724268595,0,None
16,-47,27,2.0,-5.311837,0.22666666666666668,0.38578817129135135,0,None
17,-46,28,2.0,-0.31565827,0.25333333333333335,0.3815793943405152,0,None
18,-45,29,2.0,0.5462621,0.28,0.38886288881301884,0,None
19,-44,30,2.0,4.262523,0.3066666666666667,0.44569653113683066,0,None
20,-43,31,2.0,2.9847753,0.33333333333333337,0.48549353520075483,0,None
21,-42,32,2.0,0.6673303,0.36000000000000004,0.4943912728627523,0,None
22,-41,33,2.0,-0.5161362,0.3866666666666667,0.4875094564755758,0,None
23,-40,34,2.0,-3.0648155,0.4133333333333334,0.446645249525706,0,None
24,-39,35,2.0,-2.0682445,0.44000000000000006,0.41906865676244104,0,None
25,-38,36,2.0,5.715598,0.46666666666666673,0.4952766315142314,0,None
26,-37,37,2.0,1.5527356,0.4933333333333334,0.5159797724088033,0,None
27,-36,38,3.0,8.6269,0.5333333333333334,0.6310051019986471,0,None
28,-35,39,3.0,10.689703,0.5733333333333335,0.7735344751675924,0,None
29,-34,40,3.0,17.607468,0.6133333333333335,1.0083007105191548,1,4
30,-33,41,3.0,14.140263,0.6533333333333335,1.1968375452359516,0,None
31,-32,42,3.0,6.5719013,0.6933333333333336,1.2844628961881002,0,None
32,-31,43,3.0,3.377119,0.7333333333333336,1.3294911503791809,0,None
33,-30,44,3.0,0.80623764,0.7733333333333337,1.34024098555247,0,None
34,-29,45,3.0,-4.892544,0.8133333333333337,1.2750070683161419,0,None
35,-28,46,3.0,-0.06442922,0.8533333333333337,1.2741480120023092,0,None
36,-27,47,4.0,3.5028772,0.9066666666666671,1.3208530418078106,0,None
37,-26,48,4.0,10.634152,0.9600000000000004,1.4626417406400045,0,None
38,-25,49,4.0,13.688401,1.0133333333333336,1.6451537569363912,0,None
39,-24,50,4.0,12.723183,1.0666666666666669,1.8147961926460265,0,None
40,-23,51,4.0,11.266598,1.12,1.965017495950063,0,None
41,-22,52,4.0,5.669072,1.1733333333333333,2.0406051246325174,1,16
42,-21,53,4.0,7.46146,1.2266666666666666,2.1400912594795227,0,None
43,-20,54,4.0,4.0107603,1.2799999999999998,2.193568063577016,0,None
44,-19,55,4.0,5.6785073,1.333333333333333,2.269281494617462,0,None
45,-18,56,5.0,3.773359,1.3999999999999997,2.3195929487546283,0,None
46,-17,57,5.0,4.2586513,1.4666666666666663,2.3763749655087785,0,None
47,-16,58,5.0,3.781131,1.533333333333333,2.4267900458971656,0,None
48,-15,59,5.0,3.3112445,1.5999999999999996,2.470939972400665,0,None
49,-14,60,5.0,2.7893264,1.6666666666666663,2.5081309914588923,0,None
50,-13,61,5.0,3.0590308,1.733333333333333,2.5489180684089656,0,None
51,-12,62,5.0,2.7659204,1.7999999999999996,2.5857970070838925,0,None
52,-11,63,5.0,4.248058,1.8666666666666663,2.6424377783139543,0,None
53,-10,64,5.0,3.7355783,1.933333333333333,2.6922454889615373,0,None
54,-9,65,5.0,-0.5406534,1.9999999999999996,2.6850367768605548,0,None
55,-8,66,6.0,-0.9102482,2.0799999999999996,2.672900133927663,0,None
56,-7,67,6.0,2.248674,2.1599999999999997,2.702882452805837,0,None
57,-6,68,6.0,6.067639,2.2399999999999998,2.78378430445989,0,None
58,-5,69,6.0,5.6462703,2.32,2.859067908128103,0,None
59,-4,70,6.0,5.4436684,2.4,2.93165015300115,0,None
60,-3,71,6.0,4.865401,2.48,2.9965221635500594,0,None
61,-2,72,6.0,3.980662,2.56,3.0495976583162947,1,36
62,-1,73,6.0,3.3488405,2.64,3.0942488646507265,0,None
63,0,74,7.0,3.6737037,2.7333333333333334,3.143231580257416,0,None
64,1,75,7.0,3.20842,2.8266666666666667,3.186010514100393,0,None
65,2,76,7.0,1.8546636,2.92,3.210739362239838,0,None
66,3,77,7.0,1.4089899,3.013333333333333,3.229525894323985,0,None
67,4,78,7.0,4.102228,3.1066666666666665,3.284222269852956,0,None
68,5,79,7.0,4.4275665,3.1999999999999997,3.3432564902305604,0,None
69,6,80,7.0,5.6471868,3.293333333333333,3.418552313645681,0,None
70,7,81,8.0,5.5526605,3.3999999999999995,3.492587786515554,0,None
71,8,82,8.0,0.2665127,3.506666666666666,3.496141289075216,0,None
72,9,83,8.0,1.2387288,3.6133333333333324,3.5126576725641887,0,None
73,10,84,8.0,2.9426095,3.719999999999999,3.5518924665451053,0,None
74,11,85,8.0,2.3863494,3.8266666666666653,3.583710459073385,0,None
75,12,86,8.0,1.4959643,3.933333333333332,3.603656649589539,0,None
76,13,87,7.0,1.7344892,4.0266666666666655,3.6267831722895307,0,None
77,14,88,7.0,1.7151468,4.119999999999999,3.6496517960230515,0,None
78,15,89,7.0,0.5393074,4.213333333333333,3.6568425615628564,0,None
79,16,90,8.0,0.037790835,4.319999999999999,3.6573464393615724,0,None
80,17,91,8.0,0.68475205,4.426666666666666,3.6664764666557312,0,None
81,18,92,8.0,0.23244363,4.533333333333332,3.6695757150650024,0,None
82,19,93,8.0,-0.47958463,4.639999999999999,3.663181253274282,0,None
83,20,94,8.0,-0.3613395,4.746666666666665,3.6583633931477864,0,None
84,21,95,8.0,0.46945077,4.853333333333332,3.6646227367719013,0,None
85,22,96,8.0,2.2924562,4.959999999999998,3.6951888187726336,0,None
86,23,97,8.0,3.9703548,5.066666666666665,3.748126882712046,0,None
87,24,98,8.0,4.0079184,5.173333333333331,3.8015657941500343,0,None
88,25,99,8.0,4.959294,5.279999999999998,3.8676897120475764,0,None
89,26,100,8.0,6.8599777,5.386666666666664,3.9591560816764826,0,None
90,27,101,8.0,8.653265,5.4933333333333305,4.074532948335011,1,65
91,28,102,7.0,7.9689016,5.586666666666664,4.180784970124562,0,None
92,29,103,7.0,6.2620316,5.679999999999998,4.264278724193573,0,None
93,30,104,7.0,5.8409476,5.773333333333332,4.342158025900522,0,None
94,31,105,7.0,5.757725,5.866666666666665,4.41892768939336,0,None
95,32,106,7.0,5.318531,5.959999999999999,4.489841436545053,0,None
96,33,107,8.0,4.755348,6.0666666666666655,4.553246079285938,0,None
97,34,108,8.0,4.2867236,6.173333333333332,4.610402394135792,0,None
98,35,109,8.0,4.8608227,6.2799999999999985,4.675213363170623,0,None
99,36,110,8.0,5.1685104,6.386666666666665,4.744126835664113,0,None
100,37,111,8.0,4.471145,6.493333333333331,4.803742104371388,0,None
101,38,112,8.0,3.9569423,6.599999999999998,4.856501335302988,0,None
102,39,113,7.0,3.0784595,6.693333333333332,4.897547461986541,0,None
103,40,114,7.0,1.7369299,6.786666666666665,4.920706527233123,0,None
104,41,115,7.0,1.5047898,6.879999999999999,4.940770391623178,0,None
105,42,116,7.0,1.1301296,6.973333333333333,4.955838785966236,0,None
106,43,117,7.0,1.3865498,7.066666666666666,4.974326117038726,0,None
107,44,118,7.0,1.8050618,7.16,4.998393607934315,0,None
108,45,119,8.0,4.5022435,7.266666666666667,5.058423521518707,1,83
109,46,120,8.0,4.943988,7.373333333333333,5.124343359470367,0,None
110,47,121,8.0,4.182104,7.4799999999999995,5.180104747613271,0,None
111,48,122,7.0,3.4120026,7.573333333333333,5.225598115126291,0,None
112,49,123,7.0,3.500812,7.666666666666667,5.272275609175364,0,None
113,50,124,7.0,1.6445243,7.760000000000001,5.29420260032018,0,None
114,51,125,7.0,1.0449274,7.853333333333334,5.308134965101877,0,None
115,52,126,7.0,0.7707885,7.946666666666668,5.318412144978841,0,None
116,53,127,7.0,3.124601,8.040000000000001,5.360073490142822,0,None
117,54,128,7.0,3.6946714,8.133333333333335,5.409335775375366,0,None
118,55,129,8.0,1.8720644,8.240000000000002,5.434296633402506,0,None
119,56,130,8.0,1.3665192,8.34666666666667,5.452516889572143,0,None
120,57,131,7.0,1.280674,8.440000000000003,5.469592542648315,0,None
121,58,132,7.0,1.0842814,8.533333333333337,5.484049628575643,0,None
122,59,133,7.0,2.0400448,8.62666666666667,5.511250225702922,0,None
123,60,134,7.0,3.1540926,8.720000000000004,5.553304793039958,0,None
124,61,135,7.0,1.7869644,8.813333333333338,5.57713098526001,0,None
125,62,136,7.0,1.902807,8.906666666666672,5.602501745223999,0,None
126,63,137,8.0,1.7161839,9.013333333333339,5.625384197235108,0,None
127,64,138,8.0,3.5179007,9.120000000000006,5.672289539972941,0,None
128,65,139,8.0,3.6354382,9.226666666666674,5.720762049357097,0,None
129,66,140,8.0,3.2760222,9.333333333333341,5.764442345301311,0,None
130,67,141,7.0,2.1419466,9.426666666666675,5.79300163269043,0,None
131,68,142,7.0,2.788594,9.520000000000008,5.830182886123658,0,None
132,69,143,7.0,5.3765116,9.613333333333342,5.9018697071075445,0,None
133,70,144,7.0,4.879982,9.706666666666676,5.966936133702597,0,None
134,71,145,7.0,5.2538815,9.80000000000001,6.036987886428834,1,109
135,72,146,8.0,6.271567,9.906666666666677,6.1206087779998795,0,None
136,73,147,8.0,5.3096614,10.013333333333344,6.191404263178509,0,None
137,74,148,8.0,6.29303,10.120000000000012,6.275311326980592,0,None
138,75,149,7.0,3.7093832,10.213333333333345,6.324769770304363,0,None
139,76,150,7.0,3.0555265,10.306666666666679,6.365510123570761,0,None
140,77,151,7.0,2.161634,10.400000000000013,6.394331909815471,0,None
141,78,152,7.0,2.740027,10.493333333333347,6.430865602493287,0,None
142,79,153,7.0,5.314642,10.58666666666668,6.5017274951934825,0,None
143,80,154,7.0,6.661516,10.680000000000014,6.5905477110544854,0,None
144,81,155,7.0,5.682287,10.773333333333348,6.6663115406036395,0,None
145,82,156,7.0,4.272867,10.866666666666681,6.72328310330709,0,None
146,83,157,7.0,4.090684,10.960000000000015,6.777825555801393,0,None
147,84,158,7.0,4.379868,11.053333333333349,6.836223796208701,0,None
148,85,159,7.0,5.766349,11.146666666666682,6.9131084473927835,0,None
149,86,160,7.0,5.1986094,11.240000000000016,6.982423238754274,0,None
150,87,161,7.0,7.153823,11.33333333333335,7.077807544072471,1,125
151,88,162,7.0,8.369943,11.426666666666684,7.189406779607139,0,None
152,89,163,7.0,8.245789,11.520000000000017,7.299350627263389,0,None
153,90,164,8.0,1.5953217,11.626666666666685,7.320621582667035,0,None
154,91,165,7.0,0.894056,11.720000000000018,7.332542329629264,0,None
155,92,166,7.0,6.294488,11.813333333333352,7.416468835671745,0,None
156,93,167,7.0,6.328025,11.906666666666686,7.500842500527702,0,None
157,94,168,7.0,3.2202086,12.00000000000002,7.543778615792595,0,None
158,95,169,7.0,2.0152926,12.093333333333353,7.570649184385938,0,None
159,96,170,7.0,1.5311272,12.186666666666687,7.591064213911695,0,None
160,97,171,7.0,2.87302,12.28000000000002,7.629371146361036,0,None
161,98,172,7.0,6.5729866,12.373333333333354,7.717010967731479,0,None
162,99,173,7.0,6.5502076,12.466666666666688,7.804347069263462,0,None
163,100,174,8.0,5.6112776,12.573333333333355,7.879164103666945,0,None
164,101,175,8.0,4.289398,12.680000000000023,7.936356079578403,0,None
165,102,176,8.0,4.8307533,12.78666666666669,8.000766123930617,1,140
166,103,177,8.0,3.1224468,12.893333333333358,8.042398747603103,0,None
167,104,178,8.0,2.3788826,13.000000000000025,8.074117182890578,0,None
168,105,179,8.0,4.446988,13.106666666666692,8.133410357634231,0,None
169,106,180,8.0,6.713591,13.21333333333336,8.222924905618036,0,None
170,107,181,8.0,6.509637,13.320000000000027,8.309720064004267,0,None
171,108,182,7.0,5.942095,13.41333333333336,8.388947994709019,0,None
172,109,183,7.0,5.878946,13.506666666666694,8.467333939075473,0,None
173,110,184,8.0,5.3099704,13.613333333333362,8.53813354412715,0,None
174,111,185,8.0,3.710061,13.720000000000029,8.587601025104528,0,None
175,112,186,8.0,3.4664183,13.826666666666696,8.633819935321812,0,None
176,113,187,8.0,5.0041466,13.933333333333364,8.700541889667514,0,None
177,114,188,8.0,5.0176263,14.040000000000031,8.767443573474887,0,None
178,115,189,8.0,1.7703707,14.146666666666698,8.791048516432447,0,None
179,116,190,8.0,0.66726047,14.253333333333366,8.799945322672528,0,None
180,117,191,9.0,1.7438283,14.373333333333365,8.823196366628013,0,None
181,118,192,9.0,2.5899396,14.493333333333364,8.857728894551597,0,None
182,119,193,9.0,3.5428364,14.613333333333363,8.904966713587445,0,None
183,120,194,8.0,4.2568893,14.72000000000003,8.961725238164268,0,None
184,121,195,8.0,3.794053,14.826666666666698,9.012312612533572,1,159
185,122,196,8.0,3.4408648,14.933333333333366,9.058190809885664,0,None
186,123,197,8.0,2.8634279,15.040000000000033,9.096369848251346,0,None
187,124,198,8.0,2.8836968,15.1466666666667,9.134819138844811,0,None
188,125,199,8.0,3.1615417,15.253333333333368,9.176973028182987,0,None
189,126,200,8.0,1.3605819,15.360000000000035,9.195114119847618,0,None
190,127,201,8.0,2.4335232,15.466666666666702,9.227561095555625,0,None
191,128,202,8.0,5.171311,15.57333333333337,9.296511907577516,0,None
192,129,203,8.0,3.6097324,15.680000000000037,9.344641672770184,0,None
193,130,204,7.0,1.6218326,15.77333333333337,9.366266107559206,0,None
194,131,205,7.0,1.9648445,15.866666666666704,9.392464033762616,0,None
195,132,206,7.0,2.389139,15.960000000000038,9.424319219589236,0,None
196,133,207,7.0,3.5999515,16.05333333333337,9.47231857299805,0,None
197,134,208,7.0,3.0540903,16.146666666666704,9.513039776484176,0,None
198,135,209,7.0,3.4520004,16.240000000000038,9.559066448211674,0,None
199,136,210,7.0,3.5090594,16.33333333333337,9.605853907267257,0,None
200,137,211,7.0,4.6899033,16.426666666666705,9.668385950724288,0,None
