Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,-63,11,0.0,4.55324,0.0,0.06070986429850261,0,None
1,-62,12,1.0,3.734261,0.013333333333333334,0.1105000114440918,0,None
2,-61,13,1.0,3.820209,0.02666666666666667,0.1614361317952474,0,None
3,-60,14,1.0,4.518129,0.04,0.22167785008748372,0,None
4,-59,15,1.0,7.190874,0.05333333333333334,0.31755617141723635,0,None
5,-58,16,1.0,3.7296462,0.06666666666666667,0.367284787495931,0,None
6,-57,17,1.0,3.5686526,0.08,0.4148668225606283,0,None
7,-56,18,1.0,3.0179186,0.09333333333333334,0.4551057370503744,0,None
8,-55,19,1.0,4.696934,0.10666666666666667,0.5177315266927084,0,None
9,-54,20,1.0,3.3479252,0.12000000000000001,0.5623705291748048,0,None
10,-53,21,1.0,3.280591,0.13333333333333333,0.6061117426554363,0,None
11,-52,22,1.0,4.0532494,0.14666666666666667,0.6601550674438478,0,None
12,-51,23,1.0,1.0011455,0.16,0.6735036738713583,0,None
13,-50,24,1.0,0.8846801,0.17333333333333334,0.6852994084358216,0,None
14,-49,25,1.0,2.5524764,0.18666666666666668,0.7193324271837871,0,None
15,-48,26,1.0,5.0143456,0.2,0.7861903691291809,0,None
16,-47,27,2.0,5.4943185,0.22666666666666668,0.8594479489326478,0,None
17,-46,28,2.0,5.773045,0.25333333333333335,0.9364218831062318,0,None
18,-45,29,2.0,4.264037,0.28,0.9932757115364075,0,None
19,-44,30,2.0,2.3946016,0.3066666666666667,1.0252037326494854,1,-6
20,-43,31,2.0,1.58939,0.33333333333333337,1.0463955998420718,0,None
21,-42,32,2.0,0.8856799,0.36000000000000004,1.0582046651840211,0,None
22,-41,33,2.0,0.0,0.3866666666666667,1.0582046651840211,0,None
23,-40,34,2.0,2.8600597,0.4133333333333334,1.0963387950261436,0,None
24,-39,35,2.0,3.197863,0.44000000000000006,1.1389769697189334,0,None
25,-38,36,2.0,4.581136,0.46666666666666673,1.2000587860743208,0,None
26,-37,37,2.0,3.9711738,0.4933333333333334,1.2530077695846562,0,None
27,-36,38,3.0,0.47338736,0.5333333333333334,1.2593196010589605,0,None
28,-35,39,3.0,0.8827387,0.5733333333333335,1.2710894505182908,0,None
29,-34,40,3.0,2.238575,0.6133333333333335,1.3009371169408168,0,None
30,-33,41,3.0,2.322896,0.6533333333333335,1.3319090636571254,0,None
31,-32,42,3.0,0.0,0.6933333333333336,1.3319090636571254,0,None
32,-31,43,3.0,0.0,0.7333333333333336,1.3319090636571254,0,None
