Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,867,12,124,0.986348123,0.874873865,0.9424,0.927272727
1,irregular,1,64,160,147,0.285714286,0.303317536,1.0603,0.294252874
1,semiregular,1,493,113,306,0.813531353,0.617021277,0.8634,0.701779359
1,regular,2,882,13,96,0.98547486,0.901840491,0.9562,0.941804592
1,irregular,2,81,177,166,0.313953488,0.327935223,1.2412,0.320792079
1,semiregular,2,484,93,346,0.83882149,0.58313253,0.8193,0.687988628
1,regular,3,923,11,16,0.988222698,0.982960596,0.9979,0.985584624
1,irregular,3,157,82,64,0.656903766,0.71040724,1.1106,0.682608696
1,semiregular,3,599,83,125,0.87829912,0.827348066,0.9701,0.852062589
2,regular,1,962,3,517,0.996891192,0.650439486,0.7917,0.787234043
2,irregular,1,57,201,192,0.220930233,0.228915663,1.1521,0.224852071
2,semiregular,1,434,47,376,0.902286902,0.535802469,0.7481,0.672347018
2,regular,2,1125,1,195,0.999111901,0.852272727,0.9216,0.919869174
2,irregular,2,123,192,171,0.39047619,0.418367347,1.3548,0.403940887
2,semiregular,2,553,26,160,0.955094991,0.775596073,0.898,0.856037152
2,regular,3,1092,5,257,0.995442115,0.80948851,0.8979,0.892886345
2,irregular,3,101,151,119,0.400793651,0.459090909,0.9862,0.427966102
2,semiregular,3,537,51,166,0.913265306,0.763869132,0.9134,0.831913246
3,regular,1,865,0,372,1,0.699272433,0.8253,0.82302569
3,irregular,1,75,189,170,0.284090909,0.306122449,1.0938,0.294695481
3,semiregular,1,514,87,314,0.855241265,0.620772947,0.8436,0.719384185
3,regular,2,957,0,188,1,0.83580786,0.9126,0.91056137
3,irregular,2,80,175,159,0.31372549,0.334728033,1.067,0.32388664
3,semiregular,2,501,89,338,0.849152542,0.597139452,0.8282,0.701189643
3,regular,3,966,1,172,0.998965874,0.848857645,0.9193,0.917814727
3,irregular,3,169,104,60,0.619047619,0.737991266,1.0223,0.673306773
3,semiregular,3,631,66,104,0.905308465,0.858503401,0.9735,0.881284916
4,regular,1,942,5,310,0.994720169,0.752396166,0.8629,0.85675307
4,irregular,1,72,206,182,0.258992806,0.283464567,1.114,0.270676692
4,semiregular,1,409,104,306,0.797270955,0.572027972,0.8355,0.666123779
4,regular,2,1042,5,110,0.995224451,0.904513889,0.9537,0.947703502
4,irregular,2,106,212,209,0.333333333,0.336507937,1.3816,0.334913112
4,semiregular,2,437,86,265,0.835564054,0.622507123,0.8567,0.713469388
4,regular,3,1030,2,139,0.998062016,0.881094953,0.9382,0.93593821
4,irregular,3,187,111,63,0.627516779,0.748,1.0965,0.682481752
4,semiregular,3,511,69,136,0.881034483,0.789799073,0.9463,0.832925835
