Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1.00,regular,1.00,936.00,50.00,54.00,0.95,0.95,1.06,0.95
1.00,irregular,1.00,198.00,783.00,789.00,0.20,0.20,4.96,0.20
1.00,semiregular,1.00,699.00,435.00,440.00,0.62,0.61,1.62,0.62
1.00,regular,2.00,937.00,133.00,139.00,0.88,0.87,1.15,0.87
1.00,irregular,2.00,196.00,761.00,766.00,0.20,0.20,4.83,0.20
1.00,semiregular,2.00,700.00,453.00,459.00,0.61,0.60,1.65,0.61
1.00,regular,3.00,937.00,122.00,128.00,0.88,0.88,1.14,0.88
1.00,irregular,3.00,199.00,792.00,796.00,0.20,0.20,5.00,0.20
1.00,semiregular,3.00,700.00,442.00,447.00,0.61,0.61,1.63,0.61
2.00,regular,1.00,1204.00,13.00,22.00,0.99,0.98,1.00,0.99
2.00,irregular,1.00,214.00,1055.00,1060.00,0.17,0.17,5.87,0.17
2.00,semiregular,1.00,643.00,190.00,195.00,0.77,0.77,1.30,0.77
2.00,regular,2.00,1179.00,16.00,69.00,0.99,0.94,0.98,0.97
2.00,irregular,2.00,216.00,1112.00,1116.00,0.16,0.16,6.14,0.16
2.00,semiregular,2.00,647.00,200.00,205.00,0.76,0.76,1.32,0.76
2.00,regular,3.00,1160.00,14.00,109.00,0.99,0.91,0.96,0.95
2.00,irregular,3.00,216.00,1086.00,1091.00,0.17,0.17,6.02,0.17
2.00,semiregular,3.00,645.00,173.00,178.00,0.79,0.78,1.27,0.79
3.00,regular,1.00,1040.00,3.00,18.00,1.00,0.98,1.00,0.99
3.00,irregular,1.00,222.00,1021.00,1025.00,0.18,0.18,5.57,0.18
3.00,semiregular,1.00,706.00,255.00,260.00,0.73,0.73,1.35,0.73
3.00,regular,2.00,1026.00,4.00,44.00,1.00,0.96,0.98,0.98
3.00,irregular,2.00,224.00,1063.00,1069.00,0.17,0.17,5.77,0.17
3.00,semiregular,2.00,710.00,270.00,276.00,0.72,0.72,1.38,0.72
3.00,regular,3.00,1026.00,9.00,40.00,0.99,0.96,0.99,0.98
3.00,irregular,3.00,224.00,1076.00,1081.00,0.17,0.17,5.83,0.17
3.00,semiregular,3.00,712.00,277.00,282.00,0.72,0.72,1.39,0.72
4.00,regular,1.00,1097.00,27.00,33.00,0.98,0.97,1.03,0.97
4.00,irregular,1.00,228.00,1144.00,1147.00,0.17,0.17,6.03,0.17
4.00,semiregular,1.00,614.00,356.00,361.00,0.63,0.63,1.59,0.63
4.00,regular,2.00,1101.00,56.00,62.00,0.95,0.95,1.06,0.95
4.00,irregular,2.00,228.00,1158.00,1164.00,0.16,0.16,6.11,0.16
4.00,semiregular,2.00,614.00,364.00,370.00,0.63,0.62,1.60,0.63
4.00,regular,3.00,1101.00,80.00,85.00,0.93,0.93,1.08,0.93
4.00,irregular,3.00,228.00,1172.00,1177.00,0.16,0.16,6.16,0.16
4.00,semiregular,3.00,614.00,373.00,378.00,0.62,0.62,1.62,0.62
5.00,regular,1.00,1042.00,26.00,31.00,0.98,0.97,1.03,0.97
5.00,irregular,1.00,217.00,1235.00,1238.00,0.15,0.15,6.71,0.15
5.00,semiregular,1.00,666.00,441.00,446.00,0.60,0.60,1.66,0.60
