Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,411,31,1019,0.9298642533936652,0.2874125874125874,0.4739,0.43910256410256404
1,irregular,1,140,370,374,0.27450980392156865,0.2723735408560311,2.5829,0.27343749999999994
1,semiregular,1,451,110,391,0.803921568627451,0.5356294536817102,0.8023,0.6429080541696365
1,regular,2,483,37,869,0.9288461538461539,0.3572485207100592,0.5571,0.5160256410256411
1,irregular,2,154,495,498,0.23728813559322035,0.2361963190184049,3.2764,0.23674096848578016
1,semiregular,2,503,121,276,0.8060897435897436,0.6456996148908858,0.8919,0.7170349251603706
1,regular,3,245,31,1351,0.8876811594202898,0.15350877192982457,0.2967,0.2617521367521368
1,irregular,3,99,452,455,0.17967332123411978,0.17870036101083034,2.7839,0.17918552036199095
1,semiregular,3,368,106,561,0.7763713080168776,0.3961248654467169,0.6785,0.5245901639344263
2,regular,1,579,4,1283,0.9931389365351629,0.3109559613319012,0.4788,0.4736196319018405
2,irregular,1,139,533,534,0.20684523809523808,0.2065378900445765,3.1014,0.20669144981412638
2,semiregular,1,365,26,535,0.9335038363171355,0.40555555555555556,0.6090,0.5654531371030209
2,regular,2,541,5,1358,0.9908424908424909,0.28488678251711425,0.4485,0.44253578732106336
2,irregular,2,120,683,686,0.149439601494396,0.1488833746898263,3.7143,0.149160969546302
2,semiregular,2,398,32,463,0.9255813953488372,0.462253193960511,0.6692,0.6165762974438419
2,regular,3,786,7,865,0.9911727616645649,0.4760751059963658,0.6511,0.6432078559738135
2,irregular,3,141,635,637,0.18170103092783504,0.18123393316195371,3.5853,0.18146718146718147
2,semiregular,3,496,57,242,0.8969258589511754,0.6720867208672087,0.8594,0.7683965917893106
3,regular,1,421,2,1259,0.9952718676122931,0.2505952380952381,0.4046,0.4003804089396101
3,irregular,1,152,510,512,0.229607250755287,0.2289156626506024,2.9643,0.22926093514328807
3,semiregular,1,390,60,590,0.8666666666666667,0.3979591836734694,0.6313,0.5454545454545454
3,regular,2,588,2,925,0.9966101694915255,0.38863185723727695,0.5632,0.5592011412268189
3,irregular,2,135,449,452,0.23116438356164384,0.22998296422487224,2.6205,0.23057216054654142
3,semiregular,2,577,122,153,0.8254649499284692,0.7904109589041096,0.9804,0.8075577326801959
3,regular,3,159,1,1784,0.99375,0.08183221821924859,0.1548,0.15121255349500712
3,irregular,3,101,579,582,0.14852941176470588,0.1478770131771596,3.0491,0.1482024944974321
3,semiregular,3,309,55,756,0.8489010989010989,0.29014084507042254,0.5126,0.4324702589223233
4,regular,1,541,7,1111,0.9872262773722628,0.3274818401937046,0.4995,0.49181818181818177
4,irregular,1,159,601,603,0.20921052631578949,0.20866141732283464,3.3421,0.20893561103810776
4,semiregular,1,383,94,365,0.8029350104821803,0.5120320855614974,0.7818,0.6253061224489797
4,regular,2,516,3,1165,0.9942196531791907,0.30696014277215944,0.4732,0.4690909090909091
4,irregular,2,156,679,681,0.18682634730538922,0.1863799283154122,3.6711,0.1866028708133971
4,semiregular,2,416,96,297,0.8125,0.5834502103786816,0.8388,0.6791836734693878
4,regular,3,637,6,919,0.9906687402799378,0.40938303341902316,0.5867,0.5793542519326967
4,irregular,3,200,656,659,0.2336448598130841,0.23282887077997672,3.7675,0.23323615160349853
4,semiregular,3,488,127,130,0.7934959349593496,0.7896440129449838,1.0065,0.791565287915653
5,regular,1,496,2,1092,0.9959839357429718,0.3123425692695214,0.4789,0.47555129434324067
5,irregular,1,146,610,612,0.1931216931216931,0.19261213720316622,3.4931,0.19286657859973583
5,semiregular,1,434,114,351,0.791970802919708,0.5528662420382165,0.8249,0.6511627906976745
5,regular,2,669,1,746,0.9985074626865672,0.472791519434629,0.6446,0.641726618705036
5,irregular,2,131,603,607,0.1784741144414169,0.17750677506775067,3.4009,0.1779891304347826
5,semiregular,2,609,270,275,0.6928327645051194,0.6889140271493213,1.3234,0.6908678389109472
5,regular,3,327,1,1430,0.9969512195121951,0.1861126920887877,0.3170,0.3136690647482014
5,irregular,3,110,735,738,0.1301775147928994,0.12971698113207547,3.9078,0.1299468399291199
5,semiregular,3,369,107,488,0.7752100840336135,0.4305717619603267,0.7171,0.5536384096024005
6,regular,1,524,21,759,0.9614678899082569,0.4084177708495713,0.5978,0.5733041575492341
6,irregular,1,141,615,618,0.1865079365079365,0.1857707509881423,3.8923,0.18613861386138614
6,semiregular,1,447,71,434,0.862934362934363,0.5073779795686719,0.7432,0.6390278770550393
6,regular,2,471,13,873,0.9731404958677686,0.35044642857142855,0.5311,0.5153172866520788
6,irregular,2,163,903,906,0.1529080675422139,0.15247895229186156,5.4821,0.15269320843091336
6,semiregular,2,477,74,371,0.8656987295825771,0.5625,0.7903,0.681915654038599
6,regular,3,378,18,1054,0.9545454545454546,0.2639664804469274,0.4350,0.4135667396061269
6,irregular,3,138,676,679,0.16953316953316952,0.1689106487148103,4.1897,0.16922133660331085
6,semiregular,3,455,79,410,0.8520599250936329,0.5260115606936416,0.7660,0.6504646175839885
7,regular,1,434,4,1586,0.9908675799086758,0.21485148514851485,0.3577,0.35313262815296986
7,irregular,1,133,665,667,0.16666666666666666,0.16625,3.5556,0.16645807259073844
7,semiregular,1,400,71,649,0.8492569002123143,0.3813155386081983,0.6216,0.5263157894736842
7,regular,2,912,5,627,0.9945474372955289,0.5925925925925926,0.7488,0.7426710097719869
7,irregular,2,191,1137,1140,0.1438253012048193,0.14350112697220135,5.9156,0.1436630312147424
7,semiregular,2,686,203,207,0.7716535433070866,0.7681970884658454,1.1735,0.7699214365881032
7,regular,3,679,3,1096,0.9956011730205279,0.38253521126760565,0.5569,0.5527065527065528
7,irregular,3,163,922,924,0.15023041474654378,0.1499540018399264,4.8311,0.15009208103130756
7,semiregular,3,523,96,377,0.8449111470113085,0.5811111111111111,0.8173,0.6886109282422647
8,regular,1,592,5,877,0.9916247906197655,0.4029952348536419,0.5807,0.5730880929332043
8,irregular,1,167,989,990,0.1444636678200692,0.14433880726015558,4.7613,0.14440121054907046
8,semiregular,1,475,78,623,0.8589511754068716,0.4326047358834244,0.6723,0.5754088431253785
8,regular,2,488,8,1085,0.9838709677419355,0.3102352193261284,0.4802,0.4717254712421459
8,irregular,2,172,1177,1180,0.12750185322461083,0.12721893491124261,5.5638,0.12736023694927806
8,semiregular,2,507,95,543,0.8421926910299004,0.4828571428571429,0.7304,0.6138014527845036
8,regular,3,300,4,1463,0.9868421052631579,0.17016449234259784,0.2966,0.29027576197387517
8,irregular,3,132,1152,1154,0.102803738317757,0.1026438569206843,5.2922,0.10272373540856031
8,semiregular,3,449,63,690,0.876953125,0.3942054433713784,0.6227,0.5439127801332526
9,regular,1,471,3,1267,0.9936708860759493,0.2710011507479862,0.4300,0.4258589511754069
9,irregular,1,196,756,759,0.20588235294117646,0.20523560209424083,3.5902,0.20555846879916098
9,semiregular,1,345,30,679,0.92,0.3369140625,0.5392,0.4932094353109365
9,regular,2,458,4,1292,0.9913419913419913,0.26171428571428573,0.4192,0.41410488245931293
9,irregular,2,189,922,925,0.1701170117011701,0.1696588868940754,4.1880,0.16988764044943822
9,semiregular,2,369,31,631,0.9225,0.369,0.5735,0.5271428571428571
9,regular,3,524,3,1161,0.9943074003795066,0.3109792284866469,0.4779,0.4737793851717902
9,irregular,3,156,811,814,0.16132368148914167,0.16082474226804125,3.6466,0.16107382550335572
9,semiregular,3,411,35,543,0.92152466367713,0.4308176100628931,0.6391,0.5871428571428571
10,regular,1,431,12,1152,0.9729119638826185,0.2722678458622868,0.4389,0.4254689042448174
10,irregular,1,182,550,553,0.24863387978142076,0.24761904761904763,2.9757,0.24812542603953647
10,semiregular,1,400,46,463,0.8968609865470852,0.46349942062572425,0.6845,0.6111535523300229
10,regular,2,476,12,1061,0.9754098360655737,0.3096942094990241,0.4842,0.4701234567901235
10,irregular,2,224,724,727,0.23628691983122363,0.23554153522607782,3.8502,0.23591363875724067
10,semiregular,2,449,51,360,0.898,0.5550061804697157,0.7668,0.6860198624904508
10,regular,3,406,12,1201,0.9712918660287081,0.2526446795270691,0.4152,0.4009876543209877
10,irregular,3,150,739,742,0.1687289088863892,0.1681614349775785,3.6113,0.16844469399213927
10,semiregular,3,351,44,564,0.8886075949367088,0.3836065573770492,0.6052,0.5358778625954198
11,regular,1,511,2,1113,0.9961013645224172,0.3146551724137931,0.4822,0.47824052409920453
11,irregular,1,169,574,576,0.2274562584118439,0.22684563758389262,3.1172,0.2271505376344086
11,semiregular,1,392,89,525,0.814968814968815,0.42748091603053434,0.6900,0.5608011444921316
11,regular,2,517,5,1099,0.9904214559386973,0.31992574257425743,0.4897,0.4836295603367634
11,irregular,2,181,718,722,0.20133481646273638,0.20044296788482835,3.7782,0.2008879023307436
11,semiregular,2,521,126,227,0.8052550231839258,0.696524064171123,0.9314,0.7469534050179212
11,regular,3,439,1,1258,0.9977272727272727,0.25869180907483796,0.4140,0.41085634066448296
11,irregular,3,125,753,756,0.14236902050113895,0.14188422247446084,3.6862,0.1421262080727686
11,semiregular,3,401,82,513,0.8302277432712215,0.4387308533916849,0.6943,0.5740873299928417
12,regular,1,520,1,970,0.9980806142034548,0.348993288590604,0.5204,0.5171556439582298
12,irregular,1,138,624,626,0.18110236220472442,0.1806282722513089,3.7451,0.18086500655307997
12,semiregular,1,417,83,363,0.834,0.5346153846153846,0.7832,0.6515624999999999
12,regular,2,465,1,1080,0.9978540772532188,0.30097087378640774,0.4657,0.46245648930880157
12,irregular,2,170,888,891,0.16068052930056712,0.16022620169651272,5.2010,0.16045304388862672
12,semiregular,2,422,92,341,0.8210116731517509,0.5530799475753604,0.8097,0.6609240407204384
12,regular,3,443,1,1125,0.9977477477477478,0.2825255102040816,0.4429,0.44035785288270374
12,irregular,3,152,717,719,0.17491369390103567,0.17451205510907003,4.2696,0.17471264367816092
12,semiregular,3,453,120,253,0.7905759162303665,0.6416430594900849,0.8986,0.7083659108678656
13,regular,1,485,1,1027,0.9979423868312757,0.32076719576719576,0.4880,0.48548548548548554
13,irregular,1,146,948,951,0.13345521023765997,0.13309024612579762,5.0787,0.13327247832040162
13,semiregular,1,450,62,665,0.87890625,0.40358744394618834,0.6319,0.5531653349723417
13,regular,2,408,1,1181,0.9975550122249389,0.2567652611705475,0.4110,0.40840840840840836
13,irregular,2,200,1433,1438,0.1224739742804654,0.1221001221001221,7.5833,0.12228676245796392
13,semiregular,2,656,105,209,0.8620236530880421,0.7583815028901734,0.9387,0.8068880688806888
13,regular,3,343,1,1310,0.997093023255814,0.2075015124016939,0.3470,0.343515272909364
13,irregular,3,122,1068,1070,0.10252100840336134,0.10234899328859061,5.5185,0.10243492863140218
13,semiregular,3,464,61,638,0.8838095238095238,0.42105263157894735,0.6479,0.5703749231714812
14,regular,1,568,2,963,0.9964912280701754,0.37099934683213587,0.5447,0.5406949071870538
14,irregular,1,142,585,588,0.1953232462173315,0.19452054794520549,3.3641,0.19492107069320522
14,semiregular,1,554,64,652,0.8964401294498382,0.4593698175787728,0.6791,0.6074561403508772
14,regular,2,403,3,1292,0.9926108374384236,0.2377581120943953,0.3888,0.3836268443598287
14,irregular,2,140,698,700,0.16706443914081145,0.16666666666666666,3.8710,0.16686531585220502
14,semiregular,2,638,96,452,0.8692098092643051,0.5853211009174312,0.8061,0.6995614035087719
14,regular,3,408,0,1285,1.0,0.2409923213230951,0.3907,0.3883864826273203
14,irregular,3,158,770,773,0.17025862068965517,0.16970998925886144,4.2903,0.1699838622915546
14,semiregular,3,670,75,408,0.8993288590604027,0.62152133580705,0.8193,0.735052111903456
15,regular,1,523,1,878,0.9980916030534351,0.37330478229835834,0.5467,0.5433766233766234
15,irregular,1,152,644,646,0.19095477386934673,0.19047619047619047,3.6606,0.19071518193224593
15,semiregular,1,533,72,408,0.8809917355371901,0.5664187035069076,0.7842,0.6895213454075033
15,regular,2,477,0,970,1.0,0.32964754664823775,0.4990,0.49584199584199584
15,irregular,2,167,787,790,0.1750524109014675,0.17450365726227796,4.3899,0.17477760334903192
15,semiregular,2,594,109,248,0.844950213371266,0.7054631828978623,0.9121,0.7689320388349514
15,regular,3,302,1,1321,0.9966996699669967,0.1860751694393099,0.3164,0.31360332294911736
15,irregular,3,120,721,724,0.1426872770511296,0.14218009478672985,3.8716,0.14243323442136496
15,semiregular,3,354,52,785,0.8719211822660099,0.3107989464442493,0.5284,0.458252427184466
16,regular,1,557,7,1095,0.9875886524822695,0.3371670702179177,0.5104,0.5027075812274369
16,irregular,1,174,487,490,0.2632375189107413,0.2620481927710843,2.4412,0.26264150943396225
16,semiregular,1,414,70,462,0.8553719008264463,0.4726027397260274,0.7137,0.6088235294117647
