Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,104,178,0,8.567846,0,0.114237951,0,None
1,105,179,1,8.594511,0.013333333,0.228831431,0,None
2,106,180,1,8.596388,0.026666667,0.343449936,0,None
3,107,181,1,8.601175,0.04,0.458132273,0,None
4,108,182,1,8.585176,0.053333333,0.572601293,0,None
5,109,183,1,8.581164,0.066666667,0.687016818,0,None
6,110,184,1,8.530824,0.08,0.800761134,0,None
7,111,185,1,8.395684,0.093333333,0.91270359,0,None
8,112,186,1,8.241958,0.106666667,1.022596359,1,150
9,113,187,1,7.9714932,0.12,1.128882936,0,None
10,114,188,1,7.840128,0.133333333,1.233417975,0,None
11,115,189,1,7.6359267,0.146666667,1.335230331,0,None
12,116,190,1,7.46331,0.16,1.434741128,0,None
13,117,191,1,7.229108,0.173333333,1.531129233,0,None
14,118,192,2,7.0025883,0.2,1.624497077,0,None
15,119,193,2,6.9149923,0.226666667,1.716696974,0,None
16,120,194,2,6.8383384,0.253333333,1.807874819,0,None
17,121,195,2,6.7579775,0.28,1.897981186,0,None
18,122,196,2,6.705719,0.306666667,1.987390773,0,None
19,123,197,2,6.708211,0.333333333,2.076833585,1,161
20,124,198,2,6.591837,0.36,2.164724744,0,None
21,125,199,2,6.4948263,0.386666667,2.251322428,0,None
22,126,200,2,6.281985,0.413333333,2.335082226,0,None
23,127,201,2,6.1261,0.44,2.41676356,0,None
24,128,202,2,6.056433,0.466666667,2.497516003,0,None
25,129,203,2,5.972621,0.493333333,2.577150949,0,None
26,130,204,3,5.8452845,0.533333333,2.655088075,0,None
27,131,205,3,5.5985894,0.573333333,2.729735934,0,None
28,132,206,3,5.4260464,0.613333333,2.802083219,0,None
29,133,207,3,5.2939157,0.653333333,2.872668762,0,None
30,134,208,3,5.244918,0.693333333,2.942601,0,None
31,135,209,3,5.180926,0.733333333,3.011680012,1,173
32,136,210,3,4.973769,0.773333333,3.077996934,0,None
33,137,211,4,4.8207636,0.826666667,3.142273782,0,None
34,138,212,4,4.748657,0.88,3.205589212,0,None
35,139,213,4,4.7228966,0.933333333,3.268561166,0,None
36,140,214,4,4.743145,0.986666667,3.331803099,0,None
37,141,215,4,4.7811007,1.04,3.395551109,0,None
38,142,216,4,4.738155,1.093333333,3.458726508,0,None
39,143,217,4,4.8064594,1.146666667,3.522812634,0,None
40,144,218,4,4.713175,1.2,3.585654964,0,None
41,145,219,4,4.7091312,1.253333333,3.648443381,0,None
42,146,220,5,4.729735,1.32,3.711506513,0,None
43,147,221,5,4.694721,1.386666667,3.774102796,0,None
44,148,222,5,4.7600994,1.453333333,3.837570788,0,None
45,149,223,5,4.715918,1.52,3.900449696,0,None
46,150,224,5,4.6977572,1.586666667,3.963086459,0,None
47,151,225,5,4.692108,1.653333333,4.025647901,1,189
48,152,226,5,4.7201333,1.72,4.088583012,0,None
49,153,227,5,4.6948404,1.786666667,4.151180884,0,None
50,154,228,5,4.6378603,1.853333333,4.213019021,0,None
51,155,229,6,4.6346006,1.933333333,4.274813697,0,None
52,156,230,6,4.6179366,2.013333333,4.336386185,0,None
53,157,231,6,4.681534,2.093333333,4.398806636,0,None
