Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA,,,,
1,regular,1,650,22,548,0.967261905,0.542570952,0.7215,0.695187166,,,,
1,irregular,1,121,349,351,0.257446809,0.256355932,2.3719,0.256900212,,,,
1,semiregular,1,529,118,227,0.817619784,0.69973545,0.9246,0.754098361,,,,
1,regular,2,824,23,199,0.972845336,0.805474096,0.9082,0.881283422,,,,
1,irregular,2,124,366,369,0.253061224,0.251521298,2.4774,0.252288911,,,,
1,semiregular,2,559,126,159,0.816058394,0.778551532,0.9787,0.796863863,,,,
1,regular,3,779,22,292,0.972534332,0.72735761,0.857,0.832264957,,,,
1,irregular,3,184,310,312,0.372469636,0.370967742,2.4925,0.371717172,,,,
1,semiregular,3,608,117,120,0.83862069,0.835164835,1.0356,0.836889195,,,,
2,regular,1,856,5,727,0.994192799,0.54074542,0.7067,0.700490998,,,,
2,irregular,1,108,470,473,0.186851211,0.185886403,2.6774,0.186367558,,,,
2,semiregular,1,450,34,357,0.929752066,0.557620818,0.7527,0.697134005,,,,
2,regular,2,939,3,565,0.996815287,0.624335106,0.7712,0.767784137,,,,
2,irregular,2,167,505,508,0.248511905,0.247407407,3.1106,0.247958426,,,,
2,semiregular,2,515,34,228,0.938069217,0.693135935,0.8516,0.797213622,,,,
2,regular,3,1185,90,97,0.929411765,0.924336973,1.0474,0.926867423,,,,
2,irregular,3,146,492,496,0.228840125,0.22741433,2.9585,0.228125,,,,
2,semiregular,3,531,52,177,0.910806175,0.75,0.9057,0.822618125,,,,
3,regular,1,870,1,361,0.998851894,0.706742486,0.831,0.827783064,,,,
3,irregular,1,118,448,451,0.208480565,0.207381371,2.5402,0.207929515,,,,
3,semiregular,1,501,86,341,0.853492334,0.595011876,0.824,0.701189643,,,,
3,regular,2,789,1,523,0.998734177,0.601371951,0.754,0.750713606,,,,
3,irregular,2,150,489,491,0.234741784,0.23400936,2.8616,0.234375,,,,
3,semiregular,2,527,81,294,0.866776316,0.641900122,0.8534,0.737578726,,,,
3,regular,3,982,13,127,0.986934673,0.885482417,0.9468,0.933460076,,,,
3,irregular,3,199,423,425,0.319935691,0.318910256,2.7857,0.319422151,,,,
3,semiregular,3,635,65,95,0.907142857,0.869863014,0.9804,0.888111888,,,,
4,regular,1,732,5,730,0.993215739,0.500683995,0.6721,0.665757162,,,,
4,irregular,1,119,481,484,0.198333333,0.1973466,2.6447,0.197838736,,,,
4,semiregular,1,426,114,260,0.788888889,0.620991254,0.8827,0.694942904,,,,
4,regular,2,775,5,644,0.993589744,0.546159267,0.7112,0.704865848,,,,
4,irregular,2,159,523,526,0.23313783,0.232116788,3.0044,0.232626189,,,,
4,semiregular,2,468,99,189,0.825396825,0.712328767,0.93,0.764705882,,,,
4,regular,3,983,4,230,0.995947315,0.810387469,0.8983,0.893636364,,,,
4,irregular,3,197,457,459,0.301223242,0.300304878,2.8772,0.300763359,,,,
4,semiregular,3,529,92,94,0.851851852,0.849117175,1.0147,0.850482315,,,,
5,regular,1,750,1,584,0.998668442,0.562218891,0.7222,0.71942446,,,,
5,irregular,1,111,518,520,0.176470588,0.175911252,2.9078,0.176190476,,,,
5,semiregular,1,481,135,236,0.780844156,0.670850767,0.9266,0.72168042,,,,
5,regular,2,818,1,447,0.998778999,0.646640316,0.7883,0.785028791,,,,
5,irregular,2,130,609,611,0.175913396,0.175438596,3.4147,0.175675676,,,,
5,semiregular,2,547,175,178,0.757617729,0.754482759,1.0853,0.756046994,,,,
5,regular,3,1037,56,58,0.948764867,0.947031963,1.0489,0.947897623,,,,
5,irregular,3,199,523,525,0.275623269,0.274861878,3.3364,0.275242047,,,,
5,semiregular,3,634,148,150,0.810741688,0.808673469,1.1737,0.809706258,,,,
6,regular,1,644,12,527,0.981707317,0.549957301,0.7202,0.704980843,,,,
6,irregular,1,107,541,543,0.165123457,0.164615385,3.3333,0.164869029,,,,
6,semiregular,1,467,69,397,0.871268657,0.540509259,0.7675,0.667142857,,,,
6,regular,2,737,13,339,0.982666667,0.684944238,0.824,0.807228916,,,,
6,irregular,2,141,584,587,0.194482759,0.193681319,3.7333,0.194081211,,,,
6,semiregular,2,521,83,275,0.862582781,0.654522613,0.8645,0.744285714,,,,
6,regular,3,915,244,247,0.789473684,0.787435456,1.2699,0.788453253,,,,
6,irregular,3,185,505,507,0.268115942,0.26734104,3.5487,0.267727931,,,,
6,semiregular,3,668,134,136,0.832917706,0.830845771,1.1469,0.831880448,,,,
7,regular,1,678,4,1097,0.994134897,0.381971831,0.5569,0.551892552,,,,
7,irregular,1,111,608,610,0.154381085,0.153952843,3.2044,0.154166667,,,,
7,semiregular,1,347,58,769,0.856790123,0.3109319,0.5335,0.456278764,,,,
7,regular,2,890,3,673,0.996640538,0.569417786,0.7293,0.7247557,,,,
7,irregular,2,137,758,761,0.153072626,0.152561247,3.9911,0.152816509,,,,
7,semiregular,2,572,104,271,0.846153846,0.678529063,0.8922,0.753127057,,,,
7,regular,3,1228,220,222,0.848066298,0.846896552,1.1789,0.847481021,,,,
7,irregular,3,209,641,643,0.245882353,0.245305164,3.7867,0.24559342,,,,
7,semiregular,3,725,171,173,0.809151786,0.807349666,1.18,0.808249721,,,,
8,regular,1,747,3,570,0.996,0.567198178,0.7275,0.722786647,,,,
8,irregular,1,109,781,781,0.12247191,0.12247191,3.6626,0.12247191,,,,
8,semiregular,1,574,88,414,0.867069486,0.58097166,0.8053,0.695757576,,,,
8,regular,2,625,3,814,0.99522293,0.434329395,0.6097,0.604741171,,,,
8,irregular,2,124,881,884,0.123383085,0.123015873,4.1481,0.123199205,,,,
8,semiregular,2,550,80,471,0.873015873,0.538687561,0.7654,0.666262871,,,,
8,regular,3,997,16,57,0.984205331,0.945920304,0.9816,0.964683116,,,,
8,irregular,3,231,746,749,0.236438076,0.235714286,4.0329,0.236075626,,,,
8,semiregular,3,781,146,148,0.842502697,0.840688913,1.1233,0.841594828,,,,
9,regular,1,829,2,550,0.997593261,0.601160261,0.7543,0.750226244,,,,
9,irregular,1,121,612,614,0.165075034,0.16462585,2.7632,0.164850136,,,,
9,semiregular,1,460,61,418,0.882917466,0.523917995,0.7475,0.65761258,,,,
9,regular,2,898,3,411,0.996670366,0.686019862,0.8175,0.812669683,,,,
9,irregular,2,142,712,714,0.166276347,0.16588785,3.218,0.166081871,,,,
9,semiregular,2,507,54,331,0.903743316,0.605011933,0.8046,0.724803431,,,,
9,regular,3,1098,74,76,0.936860068,0.935264055,1.0605,0.936061381,,,,
9,irregular,3,250,580,582,0.301204819,0.300480769,3.1278,0.300842359,,,,
9,semiregular,3,674,97,99,0.874189364,0.871927555,1.1027,0.873056995,,,,
10,regular,1,698,13,616,0.981715893,0.531202435,0.7041,0.689382716,,,,
10,irregular,1,154,515,516,0.23019432,0.229850746,2.7126,0.230022405,,,,
10,semiregular,1,444,61,360,0.879207921,0.552238806,0.7744,0.678380443,,,,
10,regular,2,701,14,609,0.98041958,0.535114504,0.7081,0.692345679,,,,
10,irregular,2,144,535,537,0.212076583,0.211453744,2.7571,0.211764706,,,,
