Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,648,11,565,0.983308042,0.534212696,0.7054,0.692307692
1,irregular,1,97,359,362,0.212719298,0.211328976,2.3065,0.212021858
1,semiregular,1,529,160,185,0.76777939,0.740896359,0.9844,0.754098361
1,regular,2,800,20,250,0.975609756,0.761904762,0.8794,0.855614973
1,irregular,2,164,547,551,0.230661041,0.229370629,3.593,0.230014025
1,semiregular,2,638,269,274,0.703417861,0.699561404,1.2973,0.701484332
1,regular,3,892,58,61,0.938947368,0.935991605,1.0171,0.937467157
1,irregular,3,197,591,594,0.25,0.249051833,3.9749,0.249525016
1,semiregular,3,665,253,257,0.724400871,0.721258134,1.3115,0.722826087
2,regular,1,964,5,512,0.994840041,0.653116531,0.7941,0.788548057
2,irregular,1,123,578,580,0.175463623,0.174964438,3.2396,0.175213675
2,semiregular,1,488,59,256,0.89213894,0.655913978,0.8501,0.756003098
2,regular,2,875,3,693,0.996583144,0.558035714,0.719,0.715453802
2,irregular,2,165,544,547,0.232722144,0.231741573,3.2811,0.232230823
2,semiregular,2,424,28,417,0.938053097,0.504161712,0.7002,0.655839134
2,regular,3,1073,11,286,0.989852399,0.789551141,0.8897,0.878428162
2,irregular,3,143,548,551,0.206946454,0.206051873,3.1982,0.206498195
2,semiregular,3,456,35,345,0.928716904,0.56928839,0.762,0.705882353
3,regular,1,753,1,596,0.99867374,0.558191253,0.7189,0.716119829
3,irregular,1,118,480,484,0.197324415,0.196013289,2.6875,0.196666667
3,semiregular,1,522,99,286,0.84057971,0.646039604,0.8715,0.730580826
3,regular,2,462,1,1179,0.997840173,0.281535649,0.4416,0.439163498
3,irregular,2,186,628,632,0.228501229,0.227383863,3.6518,0.227941176
3,semiregular,2,379,48,625,0.887587822,0.37749004,0.5978,0.529699511
3,regular,3,1006,38,53,0.963601533,0.949952786,0.9943,0.956728483
3,irregular,3,205,585,588,0.259493671,0.25851198,3.5402,0.259001895
3,semiregular,3,625,71,108,0.897988506,0.8526603,0.9763,0.874737579
4,regular,1,875,2,447,0.997719498,0.661875946,0.7993,0.79581628
4,irregular,1,117,460,466,0.202772964,0.200686106,2.557,0.201724138
4,semiregular,1,545,222,227,0.710560626,0.705958549,1.2573,0.708252112
4,regular,2,589,6,1015,0.989915966,0.367206983,0.5431,0.535698045
4,irregular,2,217,967,971,0.183277027,0.182659933,5.2105,0.18296796
4,semiregular,2,557,205,208,0.730971129,0.728104575,1.2459,0.729535036
4,regular,3,629,4,937,0.993680885,0.401660281,0.5777,0.572078217
4,irregular,3,160,480,482,0.25,0.249221184,2.8158,0.249609984
4,semiregular,3,418,105,284,0.799235182,0.595441595,0.8567,0.68244898
5,regular,1,832,0,421,1,0.664006385,0.7998,0.798081535
5,irregular,1,136,793,796,0.146393972,0.145922747,4.2949,0.14615798
5,semiregular,1,575,219,221,0.72418136,0.722361809,1.1916,0.72327044
5,regular,2,408,0,1269,1,0.243291592,0.3937,0.391366906
5,irregular,2,179,855,857,0.17311412,0.172779923,4.7742,0.17294686
5,semiregular,2,544,164,167,0.768361582,0.76511955,1.0644,0.766737139
5,regular,3,895,2,294,0.997770346,0.752733389,0.8611,0.85810163
5,irregular,3,213,996,1000,0.17617866,0.175597692,5.5899,0.175887696
5,semiregular,3,587,143,146,0.804109589,0.800818554,1.0973,0.802460697
6,regular,1,618,4,587,0.993569132,0.512863071,0.6831,0.676518883
6,irregular,1,114,537,539,0.175115207,0.174578867,3.3487,0.174846626
6,semiregular,1,515,108,260,0.826645265,0.664516129,0.8944,0.73676681
6,regular,2,575,22,655,0.963149079,0.467479675,0.6557,0.629447181
6,irregular,2,174,801,802,0.178461538,0.178278689,5.0051,0.178370067
6,semiregular,2,464,92,379,0.834532374,0.550415184,0.7974,0.663330951
6,regular,3,692,17,426,0.976022567,0.618962433,0.7781,0.757525999
6,irregular,3,163,545,548,0.230225989,0.229254571,3.6462,0.229739253
6,semiregular,3,517,66,299,0.886792453,0.633578431,0.8359,0.739099357
7,regular,1,1187,44,46,0.964256702,0.96269262,1.0024,0.963474026
7,irregular,1,163,1018,1021,0.138018628,0.137668919,5.2622,0.137843552
7,semiregular,1,359,88,714,0.803131991,0.334575955,0.59,0.472368421
7,regular,2,934,9,579,0.990455992,0.61731659,0.7699,0.760586319
7,irregular,2,192,1059,1062,0.153477218,0.153110048,5.5733,0.153293413
7,semiregular,2,669,171,175,0.796428571,0.792654028,1.1091,0.794536817
7,regular,3,955,6,541,0.993756504,0.638368984,0.7837,0.777370777
7,irregular,3,192,751,753,0.203605514,0.203174603,4.2,0.203389831
7,semiregular,3,629,129,132,0.829815303,0.826544021,1,0.828176432
8,regular,1,696,3,673,0.995708155,0.508400292,0.6773,0.67311412
8,irregular,1,119,767,776,0.134311512,0.132960894,3.6831,0.133632791
8,semiregular,1,602,144,302,0.806970509,0.665929204,0.9069,0.72969697
8,regular,2,373,17,1305,0.956410256,0.222288439,0.3787,0.36073501
8,irregular,2,212,2166,2169,0.089150547,0.089038219,9.7984,0.089094348
8,semiregular,2,494,183,479,0.729689808,0.507708119,0.8235,0.598787879
8,regular,3,903,8,253,0.991218441,0.781141869,0.8831,0.873730044
8,irregular,3,214,1012,1015,0.174551387,0.174125305,5.0576,0.174338086
8,semiregular,3,670,95,217,0.875816993,0.75535513,0.9274,0.811138015
