Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,648,11,565,0.9833080424886191,0.5342126957955482,0.7054,0.6923076923076922
1,irregular,1,97,359,362,0.21271929824561403,0.2113289760348584,2.3065,0.2120218579234973
1,semiregular,1,529,160,185,0.7677793904208998,0.7408963585434174,0.9844,0.7540983606557378
1,regular,2,800,20,250,0.975609756097561,0.7619047619047619,0.8794,0.855614973262032
1,irregular,2,164,547,551,0.23066104078762306,0.22937062937062938,3.5930,0.2300140252454418
1,semiregular,2,638,269,274,0.7034178610804851,0.6995614035087719,1.2973,0.7014843320505773
1,regular,3,892,58,61,0.9389473684210526,0.9359916054564533,1.0171,0.9374671571203363
1,irregular,3,197,591,594,0.25,0.24905183312262957,3.9749,0.24952501583280556
1,semiregular,3,665,253,257,0.724400871459695,0.7212581344902386,1.3115,0.7228260869565217
2,regular,1,964,5,512,0.9948400412796697,0.6531165311653117,0.7941,0.7885480572597137
2,irregular,1,123,578,580,0.1754636233951498,0.17496443812233287,3.2396,0.17521367521367523
2,semiregular,1,488,59,256,0.8921389396709324,0.6559139784946236,0.8501,0.7560030983733539
2,regular,2,875,3,693,0.9965831435079726,0.5580357142857143,0.7190,0.7154538021259199
2,irregular,2,165,544,547,0.23272214386459802,0.23174157303370788,3.2811,0.2322308233638283
2,semiregular,2,424,28,417,0.9380530973451328,0.5041617122473246,0.7002,0.6558391337973705
2,regular,3,1073,11,286,0.9898523985239852,0.789551140544518,0.8897,0.8784281620957838
2,irregular,3,143,548,551,0.20694645441389292,0.20605187319884727,3.1982,0.2064981949458484
2,semiregular,3,456,35,345,0.9287169042769857,0.5692883895131086,0.7620,0.7058823529411764
3,regular,1,753,1,596,0.9986737400530504,0.5581912527798369,0.7189,0.7161198288159771
3,irregular,1,118,480,484,0.19732441471571907,0.19601328903654486,2.6875,0.19666666666666666
3,semiregular,1,522,99,286,0.8405797101449275,0.6460396039603961,0.8715,0.7305808257522742
3,regular,2,462,1,1179,0.9978401727861771,0.28153564899451555,0.4416,0.43916349809885935
3,irregular,2,186,628,632,0.2285012285012285,0.2273838630806846,3.6518,0.22794117647058823
3,semiregular,2,379,48,625,0.8875878220140515,0.37749003984063745,0.5978,0.5296995108315863
3,regular,3,1006,38,53,0.9636015325670498,0.9499527856468366,0.9943,0.9567284831193533
3,irregular,3,205,585,588,0.25949367088607594,0.25851197982345525,3.5402,0.25900189513581806
3,semiregular,3,625,71,108,0.8979885057471264,0.8526603001364257,0.9763,0.8747375787263821
4,regular,1,875,2,447,0.9977194982896237,0.6618759455370651,0.7993,0.7958162801273307
4,irregular,1,117,460,466,0.2027729636048527,0.2006861063464837,2.5570,0.2017241379310345
4,semiregular,1,545,222,227,0.7105606258148631,0.7059585492227979,1.2573,0.7082521117608838
4,regular,2,589,6,1015,0.9899159663865547,0.3672069825436409,0.5431,0.5356980445657117
