Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,118,192,0,0.95435834,0,0.012724778,0,None
1,119,193,1,0.9122396,0.013333333,0.024887973,0,None
2,120,194,1,0.82368284,0.026666667,0.035870411,0,None
3,121,195,1,0.6658003,0.04,0.044747748,0,None
4,122,196,1,0.88200057,0.053333333,0.056507755,0,None
5,123,197,1,0.7557317,0.066666667,0.066584178,0,None
6,124,198,1,0.7688466,0.08,0.076835465,0,None
7,125,199,1,0.68729746,0.093333333,0.085999432,0,None
8,126,200,1,0.5593851,0.106666667,0.0934579,0,None
9,127,201,1,0.78291726,0.12,0.103896797,0,None
10,128,202,1,0.68002915,0.133333333,0.112963852,0,None
11,129,203,1,0.7139318,0.146666667,0.122482943,0,None
12,130,204,1,0.74541193,0.16,0.132421769,0,None
13,131,205,1,0.6793905,0.173333333,0.141480308,0,None
14,132,206,1,0.78428215,0.186666667,0.151937404,0,None
15,133,207,1,0.6947715,0.2,0.161201024,0,None
16,134,208,1,0.7056519,0.213333333,0.170609716,0,None
17,135,209,1,0.74790746,0.226666667,0.180581815,0,None
18,136,210,1,0.7549819,0.24,0.19064824,0,None
19,137,211,1,0.6775612,0.253333333,0.19968239,0,None
20,138,212,1,0.71211934,0.266666667,0.209177314,0,None
21,139,213,1,0.67189807,0.28,0.218135955,0,None
22,140,214,2,0.72277755,0.306666667,0.227772989,0,None
23,141,215,2,0.7845308,0.333333333,0.2382334,0,None
24,142,216,2,0.58255994,0.36,0.246000866,0,None
25,143,217,2,0.60400534,0.386666667,0.254054271,0,None
26,144,218,2,0.5721229,0.413333333,0.261682576,0,None
27,145,219,2,0.6793836,0.44,0.270741023,0,None
28,146,220,2,0.7428757,0.466666667,0.280646032,0,None
29,147,221,2,0.5573399,0.493333333,0.288077231,0,None
30,148,222,2,0.53828144,0.52,0.295254317,0,None
31,149,223,2,0.4911347,0.546666667,0.30180278,0,None
32,150,224,2,0.558484,0.573333333,0.309249233,0,None
33,151,225,2,0.6593094,0.6,0.318040025,0,None
34,152,226,2,0.4616282,0.626666667,0.324195068,0,None
35,153,227,2,0.5204424,0.653333333,0.3311343,0,None
36,154,228,2,0.45638692,0.68,0.337219459,0,None
37,155,229,2,0.55071014,0.706666667,0.344562261,0,None
38,156,230,2,0.54119366,0.733333333,0.351778177,0,None
39,157,231,3,0.33930427,0.773333333,0.356302234,0,None
40,158,232,3,0.48924047,0.813333333,0.36282544,0,None
41,159,233,3,0.4270017,0.853333333,0.368518796,0,None
42,160,234,3,0.4999997,0.893333333,0.375185459,0,None
43,161,235,3,0.54941535,0.933333333,0.382510997,0,None
44,162,236,3,0.39786434,0.973333333,0.387815855,0,None
45,163,237,3,0.5296915,1.013333333,0.394878408,0,None
46,164,238,3,0.50154155,1.053333333,0.401565629,0,None
47,165,239,3,0.55989623,1.093333333,0.409030912,0,None
48,166,240,4,0.63007677,1.146666667,0.417431935,0,None
49,167,241,4,0.58491707,1.2,0.42523083,0,None
50,168,242,4,0.62793636,1.253333333,0.433603315,0,None
51,169,243,4,0.6242144,1.306666667,0.441926173,0,None
52,170,244,4,0.63680327,1.36,0.450416884,0,None
53,171,245,4,0.76840866,1.413333333,0.460662332,0,None
54,172,246,4,0.74249774,1.466666667,0.470562302,0,None
55,173,247,5,0.7669879,1.533333333,0.480788808,0,None
56,174,248,5,0.61885923,1.6,0.489040264,0,None
57,175,249,5,0.735813,1.666666667,0.498851105,0,None
58,176,250,5,0.76931405,1.733333333,0.509108625,0,None
59,177,251,5,0.82180077,1.8,0.520065969,0,None
60,178,252,5,0.77793556,1.866666667,0.530438443,0,None
61,179,253,5,0.6439761,1.933333333,0.539024791,0,None
62,180,254,5,0.6553608,2,0.547762935,0,None
63,181,255,5,0.5998733,2.066666667,0.555761246,0,None
64,182,256,5,0.6657578,2.133333333,0.564638016,0,None
65,183,257,5,0.74454033,2.2,0.574565221,0,None
66,184,258,5,0.6851767,2.266666667,0.58370091,0,None
67,185,259,5,0.6836417,2.333333333,0.592816132,0,None
68,186,260,5,0.57852304,2.4,0.600529772,0,None
69,187,261,5,0.66654855,2.466666667,0.609417086,0,None
70,188,262,5,0.597887,2.533333333,0.617388913,0,None
71,189,263,5,0.5395,2.6,0.624582246,0,None
72,190,264,6,0.47633398,2.68,0.630933366,0,None
73,191,265,6,0.39482623,2.76,0.636197716,0,None
74,192,266,6,0.4949553,2.84,0.64279712,0,None
75,193,267,6,0.4613744,2.92,0.648948778,0,None
76,194,268,5,0.44255406,2.986666667,0.654849499,0,None
77,195,269,5,0.3177722,3.053333333,0.659086462,0,None
78,196,270,5,0.2966333,3.12,0.663041573,0,None
79,197,271,5,0.2942791,3.186666667,0.666965294,0,None
80,198,272,5,0.32758945,3.253333333,0.671333153,0,None
81,199,273,5,0.36651284,3.32,0.676219991,0,None
82,200,274,5,0.3629731,3.386666667,0.681059632,0,None
83,201,275,5,0.30702662,3.453333333,0.685153321,0,None
84,202,276,5,0.32475007,3.52,0.689483322,0,None
85,203,277,5,0.29907143,3.586666667,0.693470941,0,None
86,204,278,6,0.3662147,3.666666667,0.698353803,0,None
87,205,279,6,0.297594,3.746666667,0.702321723,0,None
88,206,280,6,0.26093125,3.826666667,0.705800807,0,None
89,207,281,6,0.28927428,3.906666667,0.709657797,0,None
90,208,282,6,0.31137514,3.986666667,0.713809466,0,None
91,209,283,6,0.44804043,4.066666667,0.719783338,0,None
