Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,782,22,284,0.972636815920398,0.7335834896810507,0.8623,0.8363636363636364
1,irregular,1,129,430,434,0.23076923076923078,0.2291296625222025,2.8291,0.2299465240641711
1,semiregular,1,593,160,163,0.7875166002656042,0.7843915343915344,1.0754,0.7859509609012592
1,regular,2,601,26,643,0.9585326953748007,0.48311897106109325,0.6724,0.6424371993586319
1,irregular,2,137,401,404,0.25464684014869887,0.2532347504621072,2.7186,0.25393883225208524
1,semiregular,2,498,116,292,0.8110749185667753,0.6303797468354431,0.8762,0.7094017094017093
1,regular,3,933,110,112,0.8945349952061361,0.8928229665071771,1.1153,0.8936781609195403
1,irregular,3,175,224,225,0.43859649122807015,0.4375,2.0101,0.4380475594493116
1,semiregular,3,664,311,313,0.681025641025641,0.6796315250767656,1.3898,0.680327868852459
2,regular,1,714,6,1011,0.9916666666666667,0.41391304347826086,0.5907,0.5840490797546012
2,irregular,1,108,504,508,0.17647058823529413,0.17532467532467533,2.8387,0.1758957654723127
2,semiregular,1,460,52,319,0.8984375,0.5905006418485238,0.7960,0.7126258714175059
2,regular,2,1013,7,412,0.9931372549019608,0.7108771929824561,0.8358,0.8286298568507157
2,irregular,2,186,513,516,0.26609442060085836,0.26495726495726496,3.2350,0.26552462526766596
2,semiregular,2,549,41,153,0.9305084745762712,0.782051282051282,0.9150,0.84984520123839
2,regular,3,1028,6,380,0.9941972920696325,0.7301136363636364,0.8497,0.8419328419328418
2,irregular,3,154,448,452,0.2558139534883721,0.25412541254125415,2.7926,0.2549668874172185
2,semiregular,3,599,111,115,0.8436619718309859,0.8389355742296919,1.1036,0.8412921348314606
3,regular,1,831,2,439,0.9975990396158463,0.6543307086614173,0.7939,0.7902995720399428
3,irregular,1,121,459,461,0.20862068965517241,0.20790378006872853,2.5982,0.2082616179001721
3,semiregular,1,557,105,209,0.8413897280966768,0.7271540469973891,0.9302,0.7801120448179272
3,regular,2,754,3,592,0.9960369881109643,0.5601783060921248,0.7217,0.7170708511650025
3,irregular,2,139,561,563,0.19857142857142857,0.198005698005698,3.1339,0.19828815977175462
3,semiregular,2,567,101,193,0.8488023952095808,0.7460526315789474,0.9385,0.7941176470588236
