Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,-63,11,0.0,0.0,0.0,0.0,0,None
1,-62,12,1.0,0.0,0.013333333333333334,0.0,0,None
2,-61,13,1.0,0.0,0.02666666666666667,0.0,0,None
3,-60,14,1.0,0.0,0.04,0.0,0,None
4,-59,15,1.0,0.0,0.05333333333333334,0.0,0,None
5,-58,16,1.0,0.0,0.06666666666666667,0.0,0,None
6,-57,17,1.0,0.0,0.08,0.0,0,None
7,-56,18,1.0,0.0,0.09333333333333334,0.0,0,None
8,-55,19,1.0,0.0,0.10666666666666667,0.0,0,None
9,-54,20,1.0,0.0,0.12000000000000001,0.0,0,None
10,-53,21,1.0,0.53481495,0.13333333333333333,0.007130866050720215,0,None
11,-52,22,1.0,1.2451102,0.14666666666666667,0.02373233477274577,0,None
12,-51,23,1.0,2.0012684,0.16,0.05041591326395671,0,None
13,-50,24,1.0,1.827984,0.17333333333333334,0.07478903293609619,0,None
14,-49,25,1.0,1.7004911,0.18666666666666668,0.09746224721272786,0,None
15,-48,26,1.0,2.2753007,0.2,0.12779959042867026,0,None
16,-47,27,2.0,2.0043037,0.22666666666666668,0.15452363967895508,0,None
17,-46,28,2.0,2.077152,0.25333333333333335,0.1822189998626709,0,None
18,-45,29,2.0,1.4196106,0.28,0.201147141456604,0,None
19,-44,30,2.0,0.8597294,0.3066666666666667,0.21261020024617514,0,None
20,-43,31,2.0,2.017661,0.33333333333333337,0.23951234817504882,0,None
21,-42,32,2.0,2.2116158,0.36000000000000004,0.2690005588531494,0,None
22,-41,33,2.0,2.6360977,0.3866666666666667,0.3041485277811686,0,None
23,-40,34,2.0,2.0946825,0.4133333333333334,0.3320776271820068,0,None
24,-39,35,2.0,1.9211522,0.44000000000000006,0.35769299030303947,0,None
25,-38,36,2.0,3.745256,0.46666666666666673,0.4076297362645466,0,None
26,-37,37,2.0,3.5625467,0.4933333333333334,0.4551303593317667,0,None
27,-36,38,3.0,3.8573885,0.5333333333333334,0.506562205950419,0,None
28,-35,39,3.0,3.3328495,0.5733333333333335,0.551000199317932,0,None
29,-34,40,3.0,2.885892,0.6133333333333335,0.5894787581761677,0,None
30,-33,41,3.0,3.1049175,0.6533333333333335,0.6308776585261026,0,None
31,-32,42,3.0,2.8345222,0.6933333333333336,0.6686712884902952,0,None
32,-31,43,3.0,3.168499,0.7333333333333336,0.7109179417292275,0,None
33,-30,44,3.0,3.8070402,0.7733333333333337,0.7616784779230752,0,None
34,-29,45,3.0,3.9476738,0.8133333333333337,0.8143141285578408,0,None
35,-28,46,3.0,4.2900715,0.8533333333333337,0.8715150817235309,0,None
36,-27,47,4.0,4.3491096,0.9066666666666671,0.9295032103856402,0,None
37,-26,48,4.0,4.2838593,0.9600000000000004,0.9866213337580361,0,None
38,-25,49,4.0,4.9110756,1.0133333333333336,1.0521023416519162,1,13
39,-24,50,4.0,4.748131,1.0666666666666669,1.1154107522964474,0,None
40,-23,51,4.0,4.8915195,1.12,1.1806310129165645,0,None
41,-22,52,4.0,5.063978,1.1733333333333333,1.2481507221857702,0,None
42,-21,53,4.0,5.264553,1.2266666666666666,1.318344763120015,0,None
43,-20,54,4.0,5.442383,1.2799999999999998,1.3909098672866815,0,None
44,-19,55,4.0,5.408552,1.333333333333333,1.4630238962173456,0,None
45,-18,56,5.0,5.2599697,1.3999999999999997,1.5331568257013952,0,None
46,-17,57,5.0,5.373583,1.4666666666666663,1.6048045969009395,0,None
47,-16,58,5.0,6.017393,1.533333333333333,1.6850365050633744,0,None
48,-15,59,5.0,6.0638084,1.5999999999999996,1.7658872842788693,0,None
49,-14,60,5.0,5.6466694,1.6666666666666663,1.8411762094497677,0,None
50,-13,61,5.0,4.6950073,1.733333333333333,1.9037763071060176,0,None
51,-12,62,5.0,4.623144,1.7999999999999996,1.965418229103088,0,None
52,-11,63,5.0,5.33025,1.8666666666666663,2.0364882262547805,1,27
53,-10,64,5.0,5.780966,1.933333333333333,2.113567770322163,0,None
54,-9,65,5.0,5.471533,1.9999999999999996,2.1865215412775667,0,None
55,-8,66,6.0,4.7982273,2.0799999999999996,2.250497905413309,0,None
56,-7,67,6.0,4.7252083,2.1599999999999997,2.3135006825129185,0,None
57,-6,68,6.0,5.325966,2.2399999999999998,2.384513560930887,0,None
58,-5,69,6.0,6.0270786,2.32,2.464874609311421,0,None
59,-4,70,6.0,5.697672,2.4,2.5408435678482046,0,None
60,-3,71,6.0,5.0992355,2.48,2.608833374977111,0,None
61,-2,72,6.0,5.442604,2.56,2.6814014291763297,0,None
62,-1,73,6.0,6.0989037,2.64,2.7627201445897414,0,None
63,0,74,7.0,6.439698,2.7333333333333334,2.8485827875137324,0,None
64,1,75,7.0,6.2730236,2.8266666666666667,2.932223102251688,0,None
65,2,76,7.0,6.4685154,2.92,3.01846997419993,1,40
66,3,77,7.0,6.7693863,3.013333333333333,3.1087284580866488,0,None
67,4,78,7.0,7.1470346,3.1066666666666665,3.2040222533543896,0,None
68,5,79,7.0,7.2202673,3.1999999999999997,3.300292483965555,0,None
69,6,80,7.0,7.2493925,3.293333333333333,3.396951050758361,0,None
70,7,81,8.0,7.477377,3.3999999999999995,3.4966494099299106,0,None
71,8,82,8.0,7.550436,3.506666666666666,3.59732189019521,0,None
72,9,83,8.0,7.459091,3.6133333333333324,3.696776439348856,0,None
73,10,84,8.0,7.284441,3.719999999999999,3.7939023192723584,0,None
74,11,85,8.0,7.2265806,3.8266666666666653,3.8902567275365185,0,None
75,12,86,8.0,7.400013,3.933333333333332,3.988923567136128,0,None
76,13,87,7.0,7.537896,4.0266666666666655,4.089428849220275,1,51
77,14,88,7.0,7.5334435,4.119999999999999,4.189874761899311,0,None
78,15,89,7.0,7.538827,4.213333333333333,4.29039245446523,0,None
79,16,90,8.0,7.6315536,4.319999999999999,4.392146503130594,0,None
80,17,91,8.0,7.666486,4.426666666666666,4.4943663136164345,0,None
81,18,92,8.0,7.6605473,4.533333333333332,4.596506943702697,0,None
82,19,93,8.0,7.704627,4.639999999999999,4.699235304196675,0,None
83,20,94,8.0,7.7804623,4.746666666666665,4.802974801063537,0,None
84,21,95,8.0,7.868987,4.853333333333332,4.907894628842671,0,None
85,22,96,8.0,7.8079185,4.959999999999998,5.012000209490457,1,60
86,23,97,8.0,7.6906605,5.066666666666665,5.114542349179585,0,None
87,24,98,8.0,7.635728,5.173333333333331,5.216352054278055,0,None
88,25,99,8.0,7.550806,5.279999999999998,5.317029468218484,0,None
89,26,100,8.0,7.5165834,5.386666666666664,5.417250580787657,0,None
90,27,101,8.0,7.436659,5.4933333333333305,5.516406032244363,0,None
91,28,102,7.0,7.347663,5.586666666666664,5.614374871253966,0,None
92,29,103,7.0,7.2737703,5.679999999999998,5.711358475685118,0,None
93,30,104,7.0,7.2174234,5.773333333333332,5.807590788205463,0,None
94,31,105,7.0,7.187046,5.866666666666665,5.903418068885801,0,None
95,32,106,7.0,7.142153,5.959999999999999,5.998646772702533,0,None
96,33,107,8.0,7.1407814,6.0666666666666655,6.093857191403705,1,71
97,34,108,8.0,7.144205,6.173333333333332,6.189113259315489,0,None
98,35,109,8.0,7.165244,6.2799999999999985,6.284649847348529,0,None
99,36,110,8.0,7.174135,6.386666666666665,6.380304983456927,0,None
100,37,111,8.0,7.2014914,6.493333333333331,6.476324868202207,0,None
101,38,112,8.0,7.246107,6.599999999999998,6.572939629554746,0,None
102,39,113,7.0,7.290697,6.693333333333332,6.67014892419179,0,None
103,40,114,7.0,7.3408117,6.786666666666665,6.768026413917538,0,None
104,41,115,7.0,7.3348255,6.879999999999999,6.865824087460832,0,None
105,42,116,7.0,7.2827826,6.973333333333333,6.9629278548558515,0,None
106,43,117,7.0,7.24741,7.066666666666666,7.059559985796607,1,81
107,44,118,7.0,7.1451283,7.16,7.154828362464902,0,None
108,45,119,8.0,6.9847555,7.266666666666667,7.247958436012265,0,None
109,46,120,8.0,6.766651,7.373333333333333,7.338180451393124,0,None
110,47,121,8.0,6.39235,7.4799999999999995,7.423411787350969,0,None
111,48,122,7.0,6.1636124,7.573333333333333,7.505593285560605,0,None
112,49,123,7.0,6.2128468,7.666666666666667,7.588431242307024,0,None
113,50,124,7.0,6.157569,7.760000000000001,7.670532161394752,0,None
114,51,125,7.0,6.29722,7.853333333333334,7.754495097796119,0,None
115,52,126,7.0,7.07345,7.946666666666668,7.848807765642799,0,None
116,53,127,7.0,7.9630213,8.040000000000001,7.954981382687883,0,None
117,54,128,7.0,8.389337,8.133333333333335,8.06683920383453,1,92
118,55,129,8.0,7.5462685,8.240000000000002,8.167456116676327,0,None
119,56,130,8.0,7.782091,8.34666666666667,8.271217331886287,0,None
120,57,131,7.0,7.2126493,8.440000000000003,8.367385989824927,0,None
121,58,132,7.0,6.692774,8.533333333333337,8.456622974077856,0,None
122,59,133,7.0,7.450077,8.62666666666667,8.55595733483632,0,None
123,60,134,7.0,7.5427227,8.720000000000004,8.656526970863338,0,None
124,61,135,7.0,7.9419746,8.813333333333338,8.762419966061906,0,None
125,62,136,7.0,7.2751637,8.906666666666672,8.859422148068742,0,None
126,63,137,8.0,7.026038,9.013333333333339,8.953102657000219,0,None
127,64,138,8.0,8.526922,9.120000000000006,9.066794953346248,1,102
128,65,139,8.0,8.960877,9.226666666666674,9.186273318926489,0,None
129,66,140,8.0,8.773545,9.333333333333341,9.303253922462458,0,None
130,67,141,7.0,7.824711,9.426666666666675,9.407583400408422,0,None
131,68,142,7.0,7.205136,9.520000000000008,9.503651878039037,0,None
