Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,81,179,148,0.31153846153846154,0.3537117903930131,1.1508,0.3312883435582822
1,irregular,1,100,211,194,0.3215434083601286,0.3401360544217687,1.4774,0.3305785123966942
1,semiregular,1,145,132,112,0.5234657039711191,0.5642023346303502,1.2915,0.543071161048689
1,regular,2,805,24,241,0.971049457177322,0.7695984703632888,0.8837,0.8586666666666667
1,irregular,2,95,286,265,0.24934383202099739,0.2638888888888889,1.8090,0.25641025641025644
1,semiregular,2,516,134,248,0.7938461538461539,0.675392670157068,0.9132,0.7298444130127298
1,regular,3,842,22,166,0.9745370370370371,0.8353174603174603,0.9242,0.8995726495726496
1,irregular,3,116,332,317,0.25892857142857145,0.2678983833718245,2.1759,0.26333711691259937
1,semiregular,3,567,163,159,0.7767123287671233,0.78099173553719,1.0327,0.7788461538461539
2,regular,1,864,35,111,0.9610678531701891,0.8861538461538462,0.9594,0.9220917822838847
2,irregular,1,155,221,211,0.4122340425531915,0.42349726775956287,1.8392,0.417789757412399
2,semiregular,1,606,126,122,0.8278688524590164,0.8324175824175825,1.0356,0.8301369863013699
2,regular,2,941,8,554,0.9915700737618546,0.6294314381270903,0.7786,0.7700490998363339
2,irregular,2,90,387,343,0.18867924528301888,0.20785219399538107,1.9954,0.19780219780219782
2,semiregular,2,474,56,295,0.8943396226415095,0.6163849154746424,0.8114,0.7297921478060047
2,regular,3,1051,6,338,0.9943235572374646,0.7566594672426206,0.8652,0.8593622240392477
2,irregular,3,162,393,369,0.2918918918918919,0.3050847457627119,2.4470,0.29834254143646416
2,semiregular,3,579,48,86,0.9234449760765551,0.8706766917293233,0.9722,0.8962848297213623
3,regular,1,856,2,732,0.9976689976689976,0.5390428211586902,0.7026,0.6999182338511857
3,irregular,1,115,439,405,0.2075812274368231,0.22115384615384615,2.3963,0.21415270018621974
3,semiregular,1,552,62,126,0.8990228013029316,0.8141592920353983,0.9521,0.8544891640866873
3,regular,2,744,3,610,0.9959839357429718,0.5494830132939439,0.7142,0.7082341742027606
3,irregular,2,105,346,306,0.2328159645232816,0.25547445255474455,1.8348,0.24361948955916476
3,semiregular,2,532,79,290,0.8707037643207856,0.6472019464720195,0.8520,0.7424982554082344
3,regular,3,848,1,405,0.9988221436984688,0.6767757382282522,0.8101,0.8068506184586108
3,irregular,3,115,378,353,0.2332657200811359,0.24572649572649571,2.0893,0.2393340270551509
3,semiregular,3,593,104,144,0.8507890961262554,0.8046132971506106,0.9707,0.8270571827057183
4,regular,1,783,1,538,0.9987244897959183,0.5927327781983346,0.7455,0.7439429928741093
4,irregular,1,176,404,383,0.30344827586206896,0.3148479427549195,2.4955,0.3090430201931519
4,semiregular,1,622,73,114,0.8949640287769784,0.845108695652174,0.9721,0.8693221523410203
4,regular,2,904,6,387,0.9934065934065934,0.7002323780015491,0.8274,0.821444797819173
4,irregular,2,117,411,382,0.2215909090909091,0.23446893787575152,2.1930,0.2278481012658228
