Window #,Window start index,Window stop index,GT steps in window,Predicted steps in window,GT running step sum,Predicted running step sum,Difference,Index output
0,118,192,0.0,6.453449,0.0,0.08604598363240559,0,None
1,119,193,1.0,6.4517965,0.013333333333333334,0.17206993738810222,0,None
2,120,194,1.0,6.4319777,0.02666666666666667,0.2578296407063802,0,None
3,121,195,1.0,6.4273195,0.04,0.34352723439534505,0,None
4,122,196,1.0,6.461985,0.05333333333333334,0.4296870358784993,0,None
5,123,197,1.0,6.4325438,0.06666666666666667,0.5154542859395345,0,None
6,124,198,1.0,6.4240704,0.08,0.6011085573832193,0,None
7,125,199,1.0,6.3592,0.09333333333333334,0.6858978907267252,0,None
8,126,200,1.0,6.378371,0.10666666666666667,0.7709428342183431,0,None
9,127,201,1.0,6.401925,0.12000000000000001,0.8563018353780111,0,None
10,128,202,1.0,6.4002566,0.13333333333333333,0.9416385904947917,0,None
11,129,203,1.0,6.410439,0.14666666666666667,1.027111110687256,1,167
12,130,204,1.0,6.374677,0.16,1.1121068064371746,0,None
13,131,205,1.0,6.349558,0.17333333333333334,1.1967675781250002,0,None
14,132,206,1.0,6.3511806,0.18666666666666668,1.2814499855041506,0,None
15,133,207,1.0,6.3444653,0.2,1.3660428555806479,0,None
16,134,208,1.0,6.348796,0.21333333333333335,1.4506934674580894,0,None
17,135,209,1.0,6.356092,0.22666666666666668,1.535441360473633,0,None
18,136,210,1.0,6.361708,0.24000000000000002,1.6202641359965009,0,None
19,137,211,1.0,6.393266,0.25333333333333335,1.7055076853434248,0,None
20,138,212,1.0,6.372721,0.26666666666666666,1.7904773012797042,0,None
21,139,213,1.0,6.3630433,0.27999999999999997,1.8753178787231448,0,None
22,140,214,2.0,6.326078,0.30666666666666664,1.9596655845642093,0,None
23,141,215,2.0,6.3071914,0.3333333333333333,2.0437614695231123,1,179
24,142,216,2.0,6.3019276,0.36,2.1277871704101567,0,None
25,143,217,2.0,6.3040004,0.38666666666666666,2.2118405087788906,0,None
26,144,218,2.0,6.317163,0.41333333333333333,2.296069348653158,0,None
27,145,219,2.0,6.349229,0.44,2.380725733439128,0,None
28,146,220,2.0,6.3344765,0.4666666666666667,2.465185419718425,0,None
29,147,221,2.0,6.370081,0.49333333333333335,2.550119832356771,0,None
30,148,222,2.0,6.374365,0.52,2.6351113637288415,0,None
31,149,223,2.0,6.400688,0.5466666666666666,2.720453872680664,0,None
32,150,224,2.0,6.432339,0.5733333333333333,2.8062183952331545,0,None
33,151,225,2.0,6.4250894,0.5999999999999999,2.8918862533569336,0,None
34,152,226,2.0,6.462755,0.6266666666666665,2.9780563227335612,0,None
35,153,227,2.0,6.459963,0.6533333333333331,3.0641891606648763,1,191
36,154,228,2.0,6.4856887,0.6799999999999997,3.1506650098164877,0,None
37,155,229,2.0,6.4661827,0.7066666666666663,3.2368807792663574,0,None
38,156,230,2.0,6.4369473,0.733333333333333,3.3227067438761395,0,None
39,157,231,3.0,6.4367785,0.773333333333333,3.4085304578145346,0,None
40,158,232,3.0,6.422415,0.813333333333333,3.494162654876709,0,None
41,159,233,3.0,6.467552,0.853333333333333,3.5803966840108234,0,None
42,160,234,3.0,6.510194,0.8933333333333331,3.667199268341064,0,None
43,161,235,3.0,6.5125275,0.9333333333333331,3.754032967885335,0,None
44,162,236,3.0,6.5498443,0.9733333333333332,3.84136422475179,0,None
45,163,237,3.0,6.5220876,1.0133333333333332,3.928325392405192,0,None
46,164,238,3.0,6.539942,1.0533333333333332,4.015524616241455,1,202
47,165,239,3.0,6.53277,1.0933333333333333,4.102628218332927,0,None
48,166,240,4.0,6.517909,1.1466666666666665,4.1895336723327645,0,None
49,167,241,4.0,6.4832954,1.1999999999999997,4.275977611541749,0,None
50,168,242,4.0,6.4385295,1.253333333333333,4.36182467142741,0,None
51,169,243,4.0,6.4804006,1.3066666666666662,4.448230012257895,0,None
52,170,244,4.0,6.486131,1.3599999999999994,4.53471176147461,0,None
53,171,245,4.0,6.448905,1.4133333333333327,4.620697161356609,0,None
54,172,246,4.0,6.4423776,1.466666666666666,4.706595528920492,0,None
55,173,247,5.0,6.3978353,1.5333333333333325,4.791899998982748,0,None
56,174,248,5.0,6.3679748,1.5999999999999992,4.876806329091391,0,None
57,175,249,5.0,6.395695,1.6666666666666659,4.9620822652181,0,None
58,176,250,5.0,6.387823,1.7333333333333325,5.047253239949545,1,214
59,177,251,5.0,6.392717,1.7999999999999992,5.132489465077719,0,None
60,178,252,5.0,6.35254,1.8666666666666658,5.21718999862671,0,None
61,179,253,5.0,6.341548,1.9333333333333325,5.301743971506755,0,None
62,180,254,5.0,6.321646,1.9999999999999991,5.386032587687175,0,None
63,181,255,5.0,6.2620916,2.066666666666666,5.469527142842611,0,None
64,182,256,5.0,6.2247114,2.133333333333333,5.552523295084636,0,None
65,183,257,5.0,6.182175,2.1999999999999997,5.634952297210694,0,None
66,184,258,5.0,6.1693587,2.2666666666666666,5.717210413614909,0,None
67,185,259,5.0,6.1808047,2.3333333333333335,5.7996211433410645,0,None
68,186,260,5.0,6.1620593,2.4000000000000004,5.881781934102376,0,None
69,187,261,5.0,6.18017,2.4666666666666672,5.964184201558431,0,None
70,188,262,5.0,6.1337857,2.533333333333334,6.045968011220296,1,226
71,189,263,5.0,6.062177,2.600000000000001,6.126797040303548,0,None
72,190,264,6.0,6.041644,2.680000000000001,6.207352294921875,0,None
