Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,679,8,504,0.9883551673944687,0.5739644970414202,0.7375,0.7262032085561496
1,irregular,1,65,228,229,0.22184300341296928,0.22108843537414966,1.4774,0.22146507666098808
1,semiregular,1,442,92,428,0.8277153558052435,0.5080459770114942,0.7624,0.6296296296296297
1,regular,2,665,4,537,0.9940209267563528,0.5532445923460898,0.7172,0.7108498129342598
1,irregular,2,65,205,207,0.24074074074074073,0.23897058823529413,1.3668,0.23985239852398524
1,semiregular,2,446,94,417,0.825925925925926,0.5168018539976825,0.7724,0.6357804704205274
1,regular,3,929,18,20,0.9809926082365364,0.9789251844046365,1.0128,0.979957805907173
1,irregular,3,174,97,97,0.6420664206642066,0.6420664206642066,1.3618,0.6420664206642066
1,semiregular,3,631,82,84,0.884992987377279,0.8825174825174825,1.0171,0.8837535014005603
2,regular,1,622,2,1199,0.9967948717948718,0.3415705656232839,0.5123,0.5087934560327199
2,irregular,1,74,325,327,0.18546365914786966,0.18453865336658354,1.8479,0.185
2,semiregular,1,350,27,565,0.9283819628647215,0.3825136612021858,0.5858,0.5417956656346749
2,regular,2,818,4,806,0.9951338199513382,0.5036945812807881,0.6732,0.6688470973017172
2,irregular,2,133,250,252,0.3472584856396867,0.34545454545454546,1.7742,0.34635416666666663
2,semiregular,2,408,21,455,0.951048951048951,0.4727694090382387,0.6662,0.6315789473684211
2,regular,3,1095,6,246,0.9945504087193461,0.8165548098434005,0.9044,0.8968058968058967
2,irregular,3,112,231,234,0.32653061224489793,0.3236994219653179,1.5945,0.3251088534107402
2,semiregular,3,513,42,222,0.9243243243243243,0.6979591836734694,0.8640,0.7953488372093024
3,regular,1,708,0,687,1.0,0.5075268817204301,0.6752,0.6733238231098431
3,irregular,1,62,276,277,0.1834319526627219,0.18289085545722714,1.5134,0.18316100443131464
3,semiregular,1,404,63,560,0.8650963597430407,0.4190871369294606,0.6536,0.5646401118099232
3,regular,2,786,1,530,0.9987293519695044,0.5972644376899696,0.7502,0.7475035663338089
3,irregular,2,61,78,247,0.43884892086330934,0.19805194805194806,0.6250,0.2729306487695749
3,semiregular,2,498,72,361,0.8736842105263158,0.5797438882421421,0.8003,0.6969909027291813
3,regular,3,955,0,195,1.0,0.8304347826086956,0.9079,0.9073634204275535
3,irregular,3,186,142,143,0.5670731707317073,0.5653495440729484,1.4688,0.5662100456621005
3,semiregular,3,638,61,93,0.9127324749642346,0.8727770177838577,0.9791,0.8923076923076924
