Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
1,regular,1,460,26,926,0.9465020576131687,0.3318903318903319,0.5208,0.49145299145299143
1,irregular,1,86,264,265,0.24571428571428572,0.245014245014245,1.7638,0.24536376604850213
1,semiregular,1,404,85,511,0.8261758691206544,0.44153005464480877,0.6984,0.5754985754985755
1,regular,2,590,26,665,0.9577922077922078,0.4701195219123506,0.6606,0.6306787814003206
1,irregular,2,124,368,371,0.25203252032520324,0.2505050505050505,2.4874,0.2512664640324215
1,semiregular,2,583,158,161,0.786774628879892,0.7836021505376344,1.0583,0.7851851851851851
1,regular,3,925,1,22,0.9989200863930886,0.9767687434002112,0.9893,0.9877202349172451
1,irregular,3,164,104,105,0.6119402985074627,0.6096654275092936,1.3518,0.6108007448789572
1,semiregular,3,564,69,208,0.8909952606635071,0.7305699481865285,0.9018,0.802846975088968
2,regular,1,466,4,1510,0.9914893617021276,0.23582995951417005,0.3856,0.38103025347506136
2,irregular,1,105,410,412,0.20388349514563106,0.20309477756286268,2.3825,0.20348837209302326
2,semiregular,1,338,26,590,0.9285714285714286,0.3642241379310345,0.5657,0.523219814241486
2,regular,2,585,2,1274,0.9965928449744463,0.3146853146853147,0.4812,0.4783319705641864
2,irregular,2,109,194,195,0.35973597359735976,0.35855263157894735,1.4009,0.3591433278418451
2,semiregular,2,210,13,859,0.9417040358744395,0.19644527595884004,0.3478,0.325077399380805
2,regular,3,1055,3,333,0.997164461247637,0.7600864553314121,0.8660,0.8626328699918234
2,irregular,3,95,242,245,0.2818991097922849,0.27941176470588236,1.5668,0.2806499261447563
2,semiregular,3,508,48,227,0.9136690647482014,0.691156462585034,0.8640,0.7869868319132456
3,regular,1,568,1,967,0.9982425307557118,0.3700325732899023,0.5423,0.5399239543726236
3,irregular,1,99,432,434,0.1864406779661017,0.18574108818011256,2.3795,0.18609022556390978
3,semiregular,1,373,63,622,0.8555045871559633,0.3748743718592965,0.6103,0.5213137665967855
3,regular,2,722,1,658,0.9986168741355463,0.5231884057971015,0.6895,0.6866381359961959
3,irregular,2,50,60,285,0.45454545454545453,0.14925373134328357,0.4955,0.22471910112359547
3,semiregular,2,260,35,874,0.8813559322033898,0.2292768959435626,0.4162,0.3638908327501749
3,regular,3,1051,16,18,0.9850046860356139,0.9831618334892422,1.0152,0.9840823970037452
3,irregular,3,186,75,74,0.7126436781609196,0.7153846153846154,1.1652,0.7140115163147793
3,semiregular,3,630,51,120,0.9251101321585903,0.84,0.9525,0.8805031446540881
4,regular,1,356,2,1486,0.994413407821229,0.19326818675352878,0.3270,0.3236363636363636
